STATECENSUS,State,YEAR,observations,employment,members,covered
11,Maine,2016,1409,567906.968291666,64742.3799583334,76827.675375
11,Maine,2017,1422,576938.938691665,65679.9542,81000.9182249999
11,Maine,2018,1302,572761.129975001,73904.7573416667,84691.5879083333
11,Maine,2019,1226,589203.931200001,69424.404925,80850.5781333334
11,Maine,2020,1113,556949.762816666,81184.6501416667,92623.068925
12,"New Hampshire",2016,2572,668176.970733334,62893.3284083333,73780.3516583333
12,"New Hampshire",2017,2428,642224.605833331,72217.5765583333,83308.9732
12,"New Hampshire",2018,2451,664204.281541667,67707.44535,77092.4925
12,"New Hampshire",2019,2412,677148.150516669,69475.5369,78585.2526666667
12,"New Hampshire",2020,2061,629094.967125001,61397.663725,69453.9632833333
13,Vermont,2016,2356,289756.684908333,33180.7641666667,37209.8675833334
13,Vermont,2017,2222,288307.517691666,31721.5292916667,34785.7281916667
13,Vermont,2018,2255,291644.893325,30619.3036416667,33839.3298916667
13,Vermont,2019,2144,289926.216916667,32620.3463083333,34761.1161083333
13,Vermont,2020,1847,264710.260141667,31330.6180166667,36410.5888916667
14,Massachusetts,2016,3687,3162374.47788332,381856.833633333,406932.660741667
14,Massachusetts,2017,3798,3232931.99941666,400409.227241666,430985.90725
14,Massachusetts,2018,3744,3392452.28727501,462738.796283333,490970.14495
14,Massachusetts,2019,3535,3393047.54160832,406341.096108334,448921.543891667
14,Massachusetts,2020,2954,2987256.17103333,357740.277583333,384272.875716666
15,"Rhode Island",2016,1600,482075.314675,74423.3268083334,81522.520725
15,"Rhode Island",2017,1594,485378.554641666,78223.9387166667,83459.6789833334
15,"Rhode Island",2018,1604,479726.554675,83165.456825,88538.1714416667
15,"Rhode Island",2019,1467,474069.851491667,82461.2318416666,90129.5682916666
15,"Rhode Island",2020,1269,455762.069108334,81098.1296416666,86861.6957916667
16,Connecticut,2016,1753,1568650.12335833,274782.275766667,288104.073941667
16,Connecticut,2017,1747,1645267.815875,278874.069725,295690.26455
16,Connecticut,2018,1752,1677130.09120833,267221.60205,280082.661716667
16,Connecticut,2019,1721,1680598.08144166,243824.9352,268293.0212
16,Connecticut,2020,1411,1523509.77720833,260509.756458333,280200.515025
21,"New York",2016,6683,8230551.08120837,1941348.833,2074805.12850834
21,"New York",2017,6745,8478589.41643332,2016436.68006667,2147226.89128333
21,"New York",2018,6427,8407048.88100835,1873880.013325,2028340.967175
21,"New York",2019,6279,8258424.78145827,1732568.91989167,1876885.227325
21,"New York",2020,5174,7553914.65338335,1662695.613425,1785065.818425
22,"New Jersey",2016,3605,4001255.76964167,643219.092583333,666063.539416666
22,"New Jersey",2017,3371,3897617.43221666,628733.814866666,664247.518741666
22,"New Jersey",2018,3270,3932704.80539165,587218.828066667,638845.504741668
22,"New Jersey",2019,3328,4095348.94790833,642233.024050001,711781.634916668
22,"New Jersey",2020,2739,3726546.60337502,598811.446,659079.2428
23,Pennsylvania,2016,4934,5690294.07625832,686583.136183334,725365.28605
23,Pennsylvania,2017,4617,5538668.96002497,664701.994216667,722368.872191667
23,Pennsylvania,2018,4424,5582103.5351,700129.924766667,747836.655966667
23,Pennsylvania,2019,4184,5641891.90142497,676536.7471,740493.284316667
23,Pennsylvania,2020,3597,5315775.608,718995.697758334,775815.512033334
31,Ohio,2016,4416,4972894.74723333,616305.790775,701149.39865
31,Ohio,2017,4368,5067870.23769167,634474.267758334,688023.326016667
31,Ohio,2018,4104,5053712.21864167,639908.854916667,722137.295625
31,Ohio,2019,3851,5125431.67365,610337.923433333,672905.663091666
31,Ohio,2020,3363,4812986.17005832,634644.775066666,684227.024083333
32,Indiana,2016,2858,2925604.09924167,303409.684658333,334214.386508333
32,Indiana,2017,2879,2988239.49425,266162.741133333,288807.838166667
32,Indiana,2018,2846,3051383.44389999,269025.4675,283151.830283333
32,Indiana,2019,2620,3008608.56343333,248802.307525,295103.815933333
32,Indiana,2020,2273,2837580.632625,234063.937658333,271097.130141667
33,Illinois,2016,5039,5588604.86469999,812397.0314,856589.691350001
33,Illinois,2017,4802,5521281.55960832,828066.487600001,873109.751150001
33,Illinois,2018,4646,5693575.38190836,785965.815291666,839168.311583333
33,Illinois,2019,4320,5660933.76143334,771464.71025,833095.339541666
33,Illinois,2020,3745,5176009.15815834,736186.010749999,785274.302699999
34,Michigan,2016,3706,4196586.14895,606868.474250001,651381.720658334
34,Michigan,2017,3700,4230157.93789166,659284.699491667,711532.841866667
34,Michigan,2018,3689,4318617.77428334,624598.149558334,662455.79875
34,Michigan,2019,3535,4324868.71914167,591147.533516667,649732.071658334
34,Michigan,2020,3055,3978295.12545833,605090.285666666,661431.668883334
35,Wisconsin,2016,2533,2694724.05725,218233.225825,243376.847766667
35,Wisconsin,2017,2479,2780464.92590833,230560.774116667,250358.087
35,Wisconsin,2018,2325,2697847.14918333,218589.842825,233324.519741667
35,Wisconsin,2019,2254,2697545.81265833,217948.167475,244996.490541667
35,Wisconsin,2020,2012,2597075.96163334,227077.352116667,264732.415891667
41,Minnesota,2016,2325,2562085.828525,364143.415958333,387651.802925
41,Minnesota,2017,2393,2695548.23750834,410578.407658333,427964.735475
41,Minnesota,2018,2304,2637049.507025,395407.374566667,421226.224466667
41,Minnesota,2019,2230,2661670.65879999,363392.146166667,379693.690733333
41,Minnesota,2020,1965,2519499.60992501,398606.882608333,427661.582616667
42,Iowa,2016,2039,1453287.90385834,128499.7061,152651.304025
42,Iowa,2017,2041,1474980.85278334,103555.757441667,127124.262966667
42,Iowa,2018,1972,1461068.83728333,112771.035675,129144.088025
42,Iowa,2019,2088,1544328.75866667,96938.6436833334,121465.49915
42,Iowa,2020,1759,1399233.85941667,92035.9830083333,127232.565366667
43,Missouri,2016,2398,2715684.63356666,261810.315958333,289944.69815
43,Missouri,2017,2404,2618301.18830833,226136.006858333,264840.216783333
43,Missouri,2018,2282,2681075.86456667,251769.568608333,283111.17635
43,Missouri,2019,2155,2662183.82105833,296296.955083333,332315.270516667
43,Missouri,2020,1971,2525904.2868,237238.413125,253311.4546
44,"North Dakota",2016,2704,362630.353391665,20088.113,25128.38715
44,"North Dakota",2017,2656,356248.285541667,18001.9822666667,24157.6978416667
44,"North Dakota",2018,2498,342476.101841667,17907.25275,22993.219825
44,"North Dakota",2019,2570,355344.6683,21329.5523,26558.7480583333
44,"North Dakota",2020,2412,339024.938766667,21153.1194333333,24979.2837833333
45,"South Dakota",2016,1970,378258.164325,19615.43805,26343.892925
45,"South Dakota",2017,1952,379739.144041666,20242.8737,25156.5614166667
45,"South Dakota",2018,1961,387490.143583333,21700.51755,27474.3539083333
45,"South Dakota",2019,1851,395244.706350001,22003.0634333333,26360.6463916667
45,"South Dakota",2020,1687,384721.135241667,16515.3959833333,21238.2168583333
46,Nebraska,2016,2260,876000.648933336,64429.968525,74352.6010666667
46,Nebraska,2017,2168,859327.8762,70021.258575,77817.8986083333
46,Nebraska,2018,2133,883808.450108332,58446.8763416667,70849.7049416667
46,Nebraska,2019,2118,894551.953941666,74429.693175,85390.3943583333
46,Nebraska,2020,2007,889730.850391669,85247.8938583333,93669.1619083334
47,Kansas,2016,2131,1275614.35144167,109154.96455,131839.448975
47,Kansas,2017,2153,1296301.00608333,100819.956741667,130938.603225
47,Kansas,2018,2079,1284599.49406666,90558.4891166667,129282.525666667
47,Kansas,2019,2033,1280818.39591666,111105.287291667,129275.148775
47,Kansas,2020,1901,1281583.90251666,113273.489916667,143859.675025
51,Delaware,2016,1943,419039.958341667,47924.2609333334,55682.4430250001
51,Delaware,2017,1761,421340.113166666,45457.417525,47728.6407666667
51,Delaware,2018,1844,433455.143041666,44834.5977916667,46892.3861333334
51,Delaware,2019,1639,432587.950749999,37745.785475,42886.6942583333
51,Delaware,2020,1448,424179.351358333,42011.5875083333,44541.8031166667
52,Maryland,2016,2331,2817076.52249166,309361.848825,346752.770091666
52,Maryland,2017,2239,2768870.81385834,297633.434808333,324410.772408333
52,Maryland,2018,2263,2781321.44276666,306318.055633333,334615.071441667
52,Maryland,2019,2091,2909903.013825,328812.953191667,370487.438958334
52,Maryland,2020,1805,2694148.73169999,352667.854591667,381563.416825
53,D.C.,2016,3282,343896.565458333,32657.7050333333,37078.89845
53,D.C.,2017,3167,346511.992249999,33704.8462583333,39710.308775
53,D.C.,2018,2963,354633.175233335,35225.5749083333,41256.4691416667
53,D.C.,2019,2685,360343.650675,33575.3816583333,36896.9165833333
53,D.C.,2020,2467,343226.602175,29474.7820333333,32762.03515
54,Virginia,2016,3156,3748452.11205,160093.105358333,226434.0654
54,Virginia,2017,3221,3806255.63275833,176653.480691667,223197.354408333
54,Virginia,2018,3123,3878307.61308334,167784.428866667,213206.47185
54,Virginia,2019,2978,3882295.97041667,156169.938075,201054.463208333
54,Virginia,2020,2644,3703065.5313,163841.635991667,200103.145916667
55,"West Virginia",2016,3084,667880.312941668,78694.7708,87907.4095166667
55,"West Virginia",2017,3200,683182.947291672,75154.2272166666,81515.8244083332
55,"West Virginia",2018,3075,684141.88825833,68464.3509083333,73791.1779
55,"West Virginia",2019,2961,704740.536383334,71533.4645416667,78354.3818833333
55,"West Virginia",2020,2438,667226.038841667,70962.0391083333,75109.9981583333
56,"North Carolina",2016,3705,4229822.61290833,128801.93515,174063.839575
56,"North Carolina",2017,3664,4302257.63817499,144231.857083333,170931.409708333
56,"North Carolina",2018,3485,4329529.41017499,117060.495625,172779.582883333
56,"North Carolina",2019,3477,4397872.78299167,102365.912275,150499.263916667
56,"North Carolina",2020,2873,4132720.56220834,130077.586275,161979.609475
57,"South Carolina",2016,2449,1981424.20756667,32233.8981166667,51848.8924666667
57,"South Carolina",2017,2401,1989386.54034167,52209.1421416667,78524.4334333334
57,"South Carolina",2018,2381,2015923.22088334,55368.6806,71816.1617
57,"South Carolina",2019,2410,2139649.36521666,47060.8313,58611.7187
57,"South Carolina",2020,2091,2038737.788475,59148.565125,76813.8803333333
58,Georgia,2016,3585,4250119.25135833,164360.1424,209844.61365
58,Georgia,2017,3665,4339236.66828334,172589.420691667,216957.692141667
58,Georgia,2018,3626,4466531.372925,200070.250975,247747.1166
58,Georgia,2019,3531,4416491.65050834,179543.616825,222152.6754
58,Georgia,2020,2951,4174060.27776666,194261.47175,271317.141541667
59,Florida,2016,6763,8116605.95501664,456101.679008334,574111.69445
59,Florida,2017,6872,8571999.41169168,479315.481416667,568154.646666667
59,Florida,2018,6662,8712508.57215837,484161.859558333,587641.159608333
59,Florida,2019,6570,8829407.22233331,551027.889633333,666602.737108332
59,Florida,2020,5565,8150539.45516667,525489.652591667,645837.701866667
61,Kentucky,2016,1932,1707657.00745,189683.94345,228347.9694
61,Kentucky,2017,2014,1808833.22174167,175081.048416667,232949.693683333
61,Kentucky,2018,1876,1810365.73865001,160209.401175,206137.28885
61,Kentucky,2019,1683,1785878.66724167,143088.887675,168555.676408333
61,Kentucky,2020,1520,1691407.11766667,126137.559191667,158323.085141667
62,Tennessee,2016,3036,2742750.07835834,157367.02525,173880.06525
62,Tennessee,2017,2971,2725434.45070833,154376.904291667,174916.372041667
62,Tennessee,2018,2998,2814395.598225,154127.941516667,178588.418591667
62,Tennessee,2019,3036,2947377.770525,133982.84375,161549.434941667
62,Tennessee,2020,2477,2678164.34853333,116387.176483333,136827.9788
63,Alabama,2016,3081,1893731.36414167,153891.24235,170320.484958333
63,Alabama,2017,3063,1868005.23998333,137776.355325,151727.067433333
63,Alabama,2018,3024,1949296.08539166,180644.546125,196345.692308333
63,Alabama,2019,3042,2041610.57678333,173820.561016667,200245.664458333
63,Alabama,2020,2667,1894331.489025,150823.563216667,163265.663975
64,Mississippi,2016,2747,1107587.110425,73351.8723833333,89462.6245166667
64,Mississippi,2017,2720,1108612.66984167,59031.00945,77224.46865
64,Mississippi,2018,2635,1122639.96076667,57656.2595083334,79852.5970166667
64,Mississippi,2019,2461,1104367.1386,69574.7903083333,93187.2251750001
64,Mississippi,2020,2203,1033459.18861667,74079.5668416666,85825.4911
71,Arkansas,2016,2785,1185496.470075,46865.6784916667,59537.5466166667
71,Arkansas,2017,2908,1207916.89388334,61733.9094666667,74410.0859583333
71,Arkansas,2018,2753,1175705.1239,56246.6522833333,61810.649175
71,Arkansas,2019,2656,1200676.72558333,61681.1446833333,70786.126275
71,Arkansas,2020,2245,1157555.150425,54306.1935916667,68557.5122583333
72,Louisiana,2016,3533,1797376.23625,75220.4256083333,88052.7224083334
72,Louisiana,2017,3383,1780037.55935833,77910.4884916667,96108.9429583334
72,Louisiana,2018,3299,1787075.90218333,89016.0169083334,103899.329425
72,Louisiana,2019,3268,1779714.8789,94069.8782,107457.054966667
72,Louisiana,2020,2810,1681295.75945833,98966.17315,112880.886041667
73,Oklahoma,2016,2206,1480682.20546667,79482.1082333333,96963.0877
73,Oklahoma,2017,2271,1534321.54969167,84166.166575,108489.0098
73,Oklahoma,2018,2267,1585657.69125834,90113.5600916667,117567.247158333
73,Oklahoma,2019,2136,1554967.96734167,96603.810175,123351.13205
73,Oklahoma,2020,1953,1499868.94884167,89848.0054416667,114180.630991667
74,Texas,2016,9216,11456932.4115834,461663.458525,605612.133600001
74,Texas,2017,9157,11626899.057475,542242.441208333,668070.339699999
74,Texas,2018,9231,11986297.6193416,511943.757441667,653595.217491667
74,Texas,2019,8737,12337273.4418916,496886.2541,642117.438958333
74,Texas,2020,7359,11614420.0565333,565634.305166667,695718.703183334
81,Montana,2016,3198,417683.349216665,49620.0162333334,58090.6563666667
81,Montana,2017,3009,419485.848625002,49679.4249500001,57057.3278916667
81,Montana,2018,2805,427301.485358333,50441.3085416667,59926.196475
81,Montana,2019,2627,437101.817791666,46021.9227166667,52245.8398083334
81,Montana,2020,2341,419396.123858334,50323.559775,54181.4877416666
82,Idaho,2016,2613,689665.194291666,42096.514325,46543.7656666667
82,Idaho,2017,2635,722903.879941667,34758.6951833333,41698.536025
82,Idaho,2018,2579,733077.860924998,34244.0949083333,41403.6739
82,Idaho,2019,2570,764351.713399998,37553.8499666667,46321.5672916667
82,Idaho,2020,2343,730782.952725,41053.8290166667,47111.3988583333
83,Wyoming,2016,2476,248442.581225,15664.2426416667,18180.3947833333
83,Wyoming,2017,2421,242839.638358333,14624.8117416667,16197.3049416667
83,Wyoming,2018,2241,235762.197425,15376.1872083333,18017.4587583333
83,Wyoming,2019,2165,242474.118916666,17639.80865,21130.2686083333
83,Wyoming,2020,2064,239387.008191666,18110.5765833333,22192.2053333333
84,Colorado,2016,2073,2439938.02590833,238247.43955,263217.258441667
84,Colorado,2017,2113,2500951.63246667,238340.27925,273097.150958333
84,Colorado,2018,2125,2562343.31134166,281098.263541667,306932.903091667
84,Colorado,2019,2014,2634087.76151666,238503.111625,260140.789783333
84,Colorado,2020,1766,2471596.83036667,182645.359241667,202160.328575
85,"New Mexico",2016,2785,783572.120975,49254.1087166667,64339.2907666667
85,"New Mexico",2017,2582,769281.430724997,51624.751975,63313.2807916667
85,"New Mexico",2018,2455,812502.00265833,55336.205125,66315.7192083333
85,"New Mexico",2019,2402,812061.751091667,57601.0449333333,71808.178225
85,"New Mexico",2020,1993,742334.736575003,53133.9064833333,63753.2856666667
86,Arizona,2016,2555,2727866.37417501,121797.29895,150555.823158333
86,Arizona,2017,2340,2804948.97713334,111840.134716667,145793.710758333
86,Arizona,2018,2489,2944673.60426666,156621.675775,190966.668908333
86,Arizona,2019,2406,3027918.54814168,173812.259833333,214284.691583333
86,Arizona,2020,2168,2907798.10536667,154523.6328,206667.730116667
87,Utah,2016,2679,1319714.54227501,62027.4666416666,79160.0356333333
87,Utah,2017,2633,1373910.72653334,54082.9424666667,74235.0369083333
87,Utah,2018,2580,1343387.52518334,55633.7811333333,75857.0604166666
87,Utah,2019,2683,1406118.63521667,61467.362575,83201.228475
87,Utah,2020,2447,1403750.248425,51074.593375,75246.693725
88,Nevada,2016,2029,1213562.10043333,146225.4963,181771.374291667
88,Nevada,2017,2099,1290685.33845834,164286.844625,188601.736766667
88,Nevada,2018,2145,1377051.78956667,190774.387783333,215462.664333334
88,Nevada,2019,2116,1378726.80553333,200666.534291667,221338.865041667
88,Nevada,2020,1719,1209985.94033334,161575.369675,186057.130508333
91,Washington,2016,2881,3090426.696625,538351.837358334,576362.485258334
91,Washington,2017,2949,3109829.77521667,582749.165883334,628851.264175
91,Washington,2018,3015,3273608.08699168,648139.442625,669914.084358333
91,Washington,2019,3054,3392854.77931666,637877.656808333,684202.27745
91,Washington,2020,2700,3204697.30507501,557128.144258334,596422.666225
92,Oregon,2016,2408,1689979.91456667,227743.412041666,266599.200483333
92,Oregon,2017,2414,1761898.19345,262325.536916666,277229.907008333
92,Oregon,2018,2274,1740902.429575,241150.429291667,255192.629425
92,Oregon,2019,2343,1772417.64135833,254959.402633333,277031.384433333
92,Oregon,2020,2174,1691570.6302,274074.863333333,291549.941533333
93,California,2016,13786,16007243.9928416,2549644.78796666,2795362.46074166
93,California,2017,13552,16063818.0979834,2489184.29666667,2704649.229475
93,California,2018,13404,16398370.4002001,2404888.44985833,2586603.03590833
93,California,2019,13173,16504474.0494167,2499478.58203334,2721644.01815834
93,California,2020,10839,15062871.3905,2438450.56179166,2651897.352425
94,Alaska,2016,1995,297008.339366667,54949.4169333333,58960.4159249999
94,Alaska,2017,1923,304027.135066666,54960.453225,58977.0237583334
94,Alaska,2018,1831,298974.255375,55148.4185083333,59864.0525833333
94,Alaska,2019,1711,282352.759958333,48363.4448333333,52810.2583833333
94,Alaska,2020,1578,280369.595008333,49281.3329416667,54544.9490166667
95,Hawaii,2016,2518,597237.581108333,118270.612341667,124293.574641667
95,Hawaii,2017,2495,604842.823549999,128896.083875,138494.212475
95,Hawaii,2018,2339,601008.297466667,138853.887716667,145836.823475
95,Hawaii,2019,2181,575156.046841668,134485.66635,146370.289633333
95,Hawaii,2020,1708,507164.944533332,119842.749841667,129922.616666667
